Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
5,265625E+2	-1,107660E+0	5,265625E+2	-1,268869E+0	5,265625E+2	1,864741E+0	5,265625E+2	-2,653296E-1
5,281250E+2	-1,117516E+0	5,281250E+2	-1,372192E+0	5,281250E+2	1,829241E+0	5,281250E+2	-3,299701E-1
5,296875E+2	-1,235434E+0	5,296875E+2	6,861543E-1	5,296875E+2	1,768449E+0	5,296875E+2	-3,260270E-1
5,312500E+2	-1,343916E+0	5,312500E+2	4,470703E+0	5,312500E+2	1,702093E+0	5,312500E+2	-3,377937E-1
5,328125E+2	1,972640E+0	5,328125E+2	4,251804E+0	5,328125E+2	1,629353E+0	5,328125E+2	-2,294201E-1
5,343750E+2	6,197936E+0	5,343750E+2	4,049266E+0	5,343750E+2	1,551058E+0	5,343750E+2	-1,603302E-1
5,359375E+2	6,091177E+0	5,359375E+2	3,886315E+0	5,359375E+2	1,429061E+0	5,359375E+2	-2,052297E-1
5,375000E+2	5,993803E+0	5,375000E+2	3,725855E+0	5,375000E+2	1,305432E+0	5,375000E+2	-2,626369E-1
5,390625E+2	6,055110E+0	5,390625E+2	3,590565E+0	5,390625E+2	1,104708E+0	5,390625E+2	-4,693523E-1
5,406250E+2	6,141709E+0	5,406250E+2	3,445910E+0	5,406250E+2	9,091004E-1	5,406250E+2	-6,640517E-1
5,421875E+2	6,174349E+0	5,421875E+2	4,242581E+0	5,421875E+2	7,141128E-1	5,421875E+2	-9,420272E-1
5,437500E+2	-9,716596E-1	5,437500E+2	-4,610954E+0	5,437500E+2	5,255444E-1	5,437500E+2	-1,196481E+0
5,453125E+2	-8,977466E-1	5,453125E+2	-4,616367E+0	5,453125E+2	3,390428E-1	5,453125E+2	9,217111E-1
5,468750E+2	-8,191579E-1	5,468750E+2	-4,621261E+0	5,468750E+2	1,591729E-1	5,468750E+2	2,160222E+0
5,484375E+2	-6,953256E-1	5,484375E+2	-4,634747E+0	5,484375E+2	4,448398E-2	5,484375E+2	3,703304E+0
5,500000E+2	-5,645262E-1	5,500000E+2	-4,648266E+0	5,500000E+2	-7,145042E-2	5,500000E+2	5,743194E+0
5,515625E+2	-5,089688E-1	5,515625E+2	-1,998825E+0	5,515625E+2	4,453410E-2	5,515625E+2	6,313410E+0
5,531250E+2	-4,523784E-1	5,531250E+2	1,281669E+0	5,531250E+2	1,225511E-1	5,531250E+2	8,074942E-1
5,546875E+2	3,790107E-1	5,546875E+2	1,249028E+0	5,546875E+2	6,825354E-1	5,546875E+2	7,582987E-1
5,562500E+2	1,336997E+0	5,562500E+2	1,213797E+0	5,562500E+2	1,068119E+0	5,562500E+2	7,230527E-1
5,578125E+2	8,278196E-1	5,578125E+2	1,116017E+0	5,578125E+2	1,266157E+0	5,578125E+2	6,618474E-1
5,593750E+2	4,289366E-1	5,593750E+2	1,009456E+0	5,593750E+2	1,405945E+0	5,593750E+2	6,191423E-1
