Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
1,310937E+3	1,000017E+2
1,312500E+3	9,999955E+1
1,314062E+3	9,999494E+1
1,315625E+3	9,999033E+1
1,317187E+3	9,999194E+1
1,318750E+3	9,999354E+1
1,320312E+3	9,999158E+1
1,321875E+3	9,998963E+1
1,323437E+3	9,998840E+1
1,325000E+3	9,998718E+1
1,326562E+3	9,999301E+1
1,328125E+3	9,999885E+1
1,329687E+3	9,999410E+1
1,331250E+3	9,998935E+1
1,332812E+3	9,998448E+1
1,334375E+3	9,997962E+1
1,335937E+3	9,999404E+1
1,337500E+3	1,000084E+2
1,339062E+3	1,000093E+2
1,340625E+3	1,000101E+2
1,342187E+3	1,000154E+2
1,343750E+3	1,000206E+2
1,345312E+3	1,000235E+2
1,346875E+3	1,000264E+2
1,348437E+3	1,000230E+2
1,350000E+3	1,000196E+2
1,351562E+3	1,000135E+2
1,353125E+3	1,000075E+2
1,354687E+3	9,999975E+1
1,356250E+3	9,999203E+1
1,357812E+3	9,998957E+1
1,359375E+3	9,998711E+1
1,360937E+3	9,998291E+1
1,362500E+3	9,997871E+1
1,364062E+3	9,996715E+1
1,365625E+3	9,995557E+1
1,367187E+3	9,994071E+1
1,368750E+3	9,992583E+1
1,370312E+3	9,989286E+1
1,371875E+3	9,985975E+1
1,373437E+3	9,982492E+1
1,375000E+3	9,978994E+1
1,376562E+3	9,972440E+1
1,378125E+3	9,965837E+1
1,379687E+3	9,978005E+1
1,381250E+3	9,990005E+1
1,382812E+3	9,999857E+1
1,384375E+3	1,000960E+2
1,385937E+3	1,001399E+2
1,387500E+3	1,001836E+2
1,389062E+3	1,001678E+2
1,390625E+3	1,001519E+2
1,392187E+3	1,001322E+2
1,393750E+3	1,001124E+2
1,395312E+3	1,001053E+2
1,396875E+3	1,000981E+2
1,398437E+3	1,000804E+2
1,400000E+3	1,000626E+2
1,401562E+3	1,000470E+2
1,403125E+3	1,000314E+2
1,404687E+3	1,000184E+2
1,406250E+3	1,000054E+2
1,407812E+3	1,000027E+2
